项目信息,ltem_Information
项目编号,ltem_no
零件名称,Part_Name
零件编号,Part_No
样品编号,Sample_No
备注,Remark
动作数量,Action_Number
总测试次数,Total_Test_Number
设置,Set
,
,
UTACTOPC的DO信号,UTACTOPC_DO_Signal
运行/停止,Run/Stop
故障,Breakdown
故障复位,Breakdown_Reset
急停,Stop
复位到原点,Reset_To_origin
,
,
PCTOUTAC的DI信号,PCTOUTAC_DI_Signal
运行/停止,Run/Stop
故障,Breakdown
学习,study
急停,Stop
正在换挡,Is_Shifter
换挡到位,Shifter_Succeed
换挡不成功,Shifter_FaildShifter
,
,
设置,Set
退出,Exit
编辑配方,Edit_Recipe
编辑设定参数,Edit_SetParameter
,
,
UTACTOPC的配方编号,UTACTOPC_Target_Shifter
配方编号,Target_Shifter
,
,
PCTOUTAC的当前档位,PCTOUTAC_Current_Shifter
当前档位,Current_Shifter
,
,
远程/本地控制,Remote/Local
远程/本地控制,Remote/Local Control
,
,
配方编号,Recipe_number
详细位置,Detailed_location
说明,Explain
确定写入,Definite_write
退出,Exit
,
,
延迟时间,Delay_Time
加速度时间,Acceleration_time
减速度时间,Deceleration time
X力值上限,X_Upper_value
X力值下限,X_Lowerr_value
Y力值上限,Y_Upper_value
Y力值下限,Y_Lowerr_value
X位移正负偏差,X_displacement
Y位移正负偏差,Y_displacement
重复次数,Repeat_number
确定写入,Definite_write
退出,Exit
